m,n,func,seed,ins_ms,coll_tbl,coll_lst,find_ms_hits,find_ms_misses,cmp_hits,cmp_misses,checksum
1009,1000,H_DIV,137,0.4898,362,0.494,0.0666,0.0616,1.5,0.948,4960
1009,10000,H_DIV,271828,2.1292,8991,4.9464,0.7333,1.0149,5.9216,9.9124,5958
1009,100000,H_DIV,314159,155.0393,98991,49.5539,11.2738,20.5644,50.3362,99.1526,5361
1009,1000,H_MUL,137,0.4494,364,0.48,0.0668,0.0739,1.504,0.972,4716
1009,10000,H_MUL,271828,1.8806,8991,4.947,0.983,1.4224,5.8798,9.9179,5441
1009,100000,H_MUL,314159,144.5949,98991,49.5849,21.0799,47.9983,50.382,99.0459,5844
1009,1000,H_FOLD,137,0.6339,379,0.53,0.112,0.1117,1.55,1.026,5968
1009,10000,H_FOLD,271828,2.6772,8991,4.9202,1.594,2.491,5.8774,9.9868,5904
1009,100000,H_FOLD,314159,88.6185,98991,49.5195,11.467,18.6865,50.3662,99.1734,4854
10007,1000,H_DIV,137,0.041,49,0.049,0.0175,0.0156,1.052,0.108,58248
10007,10000,H_DIV,271828,0.225,3608,0.4893,0.2443,0.2271,1.4867,1.0129,52055
10007,100000,H_DIV,314159,10.9009,89993,4.9959,4.5023,6.2376,5.9856,9.9982,61287
10007,1000,H_MUL,137,0.0303,37,0.037,0.0161,0.0169,1.036,0.09,46808
10007,10000,H_MUL,271828,0.1738,3755,0.5177,0.2317,0.23,1.5024,0.9996,54019
10007,100000,H_MUL,314159,9.0224,89993,4.9847,4.4781,6.0983,5.9623,9.9983,58001
10007,1000,H_FOLD,137,0.0617,248,0.309,0.0197,0.0202,1.328,0.64,18076
10007,10000,H_FOLD,271828,0.3759,7856,2.7832,0.2994,0.3523,3.788,5.6788,14985
10007,100000,H_FOLD,314159,46.1781,97338,28.2806,7.8078,15.098,29.2834,56.8492,13935
100003,1000,H_DIV,137,0.0451,2,0.002,0.0211,0.0217,1.002,0.014,453407
100003,10000,H_DIV,271828,0.2614,516,0.0529,0.2303,0.2034,1.053,0.0998,499757
100003,100000,H_DIV,314159,9.8553,36766,0.5009,3.6557,3.24,1.5027,0.9994,507754
100003,1000,H_MUL,137,0.0262,4,0.004,0.0275,0.0234,1.004,0.006,467797
100003,10000,H_MUL,271828,0.2203,465,0.0486,0.2322,0.2017,1.0484,0.1016,539863
100003,100000,H_MUL,314159,6.1363,36687,0.4976,3.798,3.4117,1.4927,1.0021,579674
100003,1000,H_FOLD,137,0.0292,248,0.309,0.0184,0.0199,1.328,0.64,18076
100003,10000,H_FOLD,271828,0.388,7856,2.7832,0.3039,0.3343,3.788,5.6788,14985
100003,100000,H_FOLD,314159,31.3333,97338,28.2806,6.2122,12.2161,29.2834,56.8492,13935
